STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-01,0,75,47
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-02,0.03,75,47
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-03,2.45,67,36
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-04,0.04,42,27
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-05,0.37,43,27
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-06,0.05,57,33
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-07,0,53,35
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-08,0,40,24
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-09,0,65,24
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-10,0.18,61,36
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-11,0,40,21
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-12,0,49,16
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-13,0,51,19
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-14,0,54,16
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-15,0,54,16
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-16,0.9,59,29
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-17,1.55,65,38
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-18,0,52,35
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-19,0,57,25
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-20,0,57,38
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-21,0.07,57,27
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-22,0.03,38,17
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-23,0,46,15
USC00312719,"ELIZABETH CITY, NC US",36.3096,-76.205,2.4,2022-01-24,0,44,26
